Gm#,Date,Day,Date,Tm,H/A,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,,
133,Wednesday Aug 31 (2),Wed,Aug 31 (2),COL,H,LAD,L,8,10,,64-69,3,10,Avilan,Ottavino,Jansen,3:36,N,22683,-,,
134,Friday Sep 2,Fri,Sep 2,COL,H,ARI,W,14,7,,65-69,3,9,Estevez,Burgos,,3:11,N,23002,+,,
135,Saturday Sep 3,Sat,Sep 3,COL,H,ARI,L,4,9,,65-70,3,10,Shipley,Chatwood,,3:11,N,30280,-,,
136,Sunday Sep 4,Sun,Sep 4,COL,H,ARI,L,5,8,,65-71,3,11,Bradley,Gray,,3:20,D,31981,--,,
137,Monday Sep 5,Mon,Sep 5,COL,H,SFG,W,6,0,,66-71,3,11,Bettis,Moore,,2:24,D,26574,+,,
138,Tuesday Sep 6,Tue,Sep 6,COL,H,SFG,L,2,3,,66-72,3,12,Lopez,Ottavino,Casilla,3:02,N,22437,-,,
139,Wednesday Sep 7,Wed,Sep 7,COL,H,SFG,W-wo,6,5,,67-72,3,12,Lyles,Osich,,3:16,N,23961,+,,
140,Thursday Sep 8,Thu,Sep 8,COL,A,SDP,L,1,14,,67-73,3,12.5,Richard,Hoffman,,3:26,N,26053,-,,
141,Friday Sep 9,Fri,Sep 9,COL,A,SDP,W,4,1,,68-73,3,11.5,Chatwood,Perdomo,Ottavino,2:38,N,25015,+,,
142,Saturday Sep 10,Sat,Sep 10,COL,A,SDP,L,3,6,,68-74,3,12.5,Friedrich,Gray,Maurer,2:37,N,23719,-,,
143,Sunday Sep 11,Sun,Sep 11,COL,A,SDP,W,3,2,10,69-74,3,11.5,McGee,Quackenbush,Ottavino,3:03,D,25133,+,,
144,Monday Sep 12,Mon,Sep 12,COL,A,ARI,L,9,12,,69-75,3,12.5,Delgado,Lyles,Hudson,3:42,N,20637,-,,
145,Tuesday Sep 13,Tue,Sep 13,COL,A,ARI,L,4,11,,69-76,3,12.5,Ray,De La Rosa,Koch,3:28,N,20897,--,,
146,Wednesday Sep 14,Wed,Sep 14,COL,A,ARI,L,6,11,,69-77,3,13.5,Shipley,Hoffman,,3:49,N,19801,---,,
147,Friday Sep 16,Fri,Sep 16,COL,H,SDP,W-wo,8,7,,70-77,3,13,Ottavino,Maurer,,3:31,N,30451,+,,
148,Saturday Sep 17,Sat,Sep 17,COL,H,SDP,W,8,0,,71-77,3,13,Gray,Jackson,,2:53,N,34724,++,,
149,Sunday Sep 18,Sun,Sep 18,COL,H,SDP,W,6,3,,72-77,3,12,Bettis,Cosart,Ottavino,3:20,D,25811,+++,,
150,Monday Sep 19,Mon,Sep 19,COL,H,STL,L,3,5,,72-78,3,13,Martinez,Anderson,Siegrist,3:01,N,26783,-,,
151,Tuesday Sep 20,Tue,Sep 20,COL,H,STL,L,5,10,,72-79,3,13,Wainwright,De La Rosa,,3:21,N,28665,--,,
152,Wednesday Sep 21,Wed,Sep 21,COL,H,STL,W,11,1,,73-79,3,13,Marquez,Weaver,,2:43,D,26099,+,,
153,Thursday Sep 22,Thu,Sep 22,COL,A,LAD,L,4,7,,73-80,3,14,Avilan,Logan,Jansen,2:56,N,48344,-,,
154,Friday Sep 23,Fri,Sep 23,COL,A,LAD,L,2,5,,73-81,3,15,Stripling,Gray,Jansen,3:39,N,52320,--,,
155,Saturday Sep 24,Sat,Sep 24,COL,A,LAD,L,1,14,,73-82,3,16,Kershaw,Bettis,,3:04,N,53299,---,,
156,Sunday Sep 25,Sun,Sep 25,COL,A,LAD,L-wo,3,4,10,73-83,3,17,Blanton,Logan,,3:33,D,51962,----,,
157,Tuesday Sep 27,Tue,Sep 27,COL,A,SFG,L,3,12,,73-84,3,17,Moore,Marquez,,3:05,N,41582,-----,,
158,Wednesday Sep 28,Wed,Sep 28,COL,A,SFG,W,2,0,,74-84,3,16,Chatwood,Samardzija,Ottavino,2:55,N,41426,+,,
159,Thursday Sep 29,Thu,Sep 29,COL,A,SFG,L,2,7,,74-85,3,17,Cueto,Gray,,3:15,N,41275,-,,
160,Friday Sep 30,Fri,Sep 30,COL,H,MIL,W,4,1,,75-85,3,16,Bettis,Suter,Ottavino,2:30,N,41068,+,,
161,Saturday Oct 1,Sat,Oct 1,COL,H,MIL,L,3,4,10,75-86,3,16,Thornburg,Ottavino,Barnes,3:26,N,32835,-,,
162,Sunday Oct 2,Sun,Oct 2,COL,H,MIL,L,4,6,10,75-87,3,16,Thornburg,Rusin,Knebel,3:23,D,27762,--,,
